,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges
61,yearn.finance,,,,01/06/2021 16:55:47,"36,666.00",,,N/A,Common,"44,423.19",1.63 billion,275.26 million,"36,635.03","Binance,OKEx,Coinbase Pro,Huobi Global,DigiFinex,Bithumb,FTX,SushiSwap,Kraken,Bitvavo,CoinEx,ProBit,Atomars,Bitladon,IndependentReserve,BeQuant,HitBTC,Polarity.Exchange,OKCoin,tokenize"
62,Chiliz,0x3506424f91fd33084466f402d5d97f05f8e3b4af,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af,Etherium,01/06/2021 16:55:59,8.89 billion,85439 ( 0.224%),560165,N/A,Common,0.2684,1.54 billion,157.54 million,5.75 billion,"Binance,Upbit,Huobi Global,OKEx,FTX,DigiFinex,Bitvavo,Gate.io,Bithumb,Kucoin"
63,The Transfer Token,,,,01/06/2021 16:56:00,2.00 billion,,,N/A,Common,14.60,1.54 billion,1.25 million,105.13 million,"DigiFinex,LBank"
64,Holo,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2,Etherium,01/06/2021 16:56:11,177.62 billion,105671 ( 0.133%),679245,N/A,Common,0.00852,1.51 billion,23.15 million,177.62 billion,"Uniswap v2,Indodax,Bitrue,Bitladon,Atomars"
65,LEO,,,,01/06/2021 16:56:13,995.24 million,,,N/A,Common,1.49,1.47 billion,12.37 million,985.97 million,"OKEx,Bitfinex,Gate.io,DragonEx"
66,Zilliqa,,,,01/06/2021 16:56:14,21.00 billion,,,N/A,Common,0.1165,1.46 billion,144.61 million,12.50 billion,"Binance,OKEx,DigiFinex,Upbit,Huobi Global,Changelly PRO,Kucoin,Bitvavo,Indodax,CEX.io"
67,The Graph,,,,01/06/2021 16:56:15,10.11 billion,,,N/A,Common,0.7638,1.41 billion,99.57 million,1.85 billion,"Binance,OKEx,Coinbase Pro,Bitcoin.com,Bilaxy,Coineal,BTCAlpha,MXC,Folgory,Polarity.Exchange"
68,Waves,,,,01/06/2021 16:56:18,105.24 million,,,N/A,Common,13.01,1.37 billion,145.01 million,105.21 million,"Upbit,Binance,OKEx,Huobi Global,Bitcoin.com,Waves.Exchange,Kraken,Exmo,Bithumb,Bitvavo,STEX,Float SV,BTCsquare"
69,NEM,,,,01/06/2021 16:56:19,9.00 billion,,,N/A,Common,0.1863,1.32 billion,97.37 million,7.08 billion,"OKEx,Binance,Bitcoin.com,DigiFinex,Huobi Global,Poloniex,Kucoin,Bittrex,Gate.io,Exmo"
70,Paxos Standard,,,,01/06/2021 16:56:21,1.25 billion,,,N/A,Common,1.00,1.26 billion,48.51 million,1.25 billion,"Binance,DigiFinex,OKEx,Bittrex,Bithumb Global,Huobi Global,Bitstamp,WazirX,Kucoin,Upbit"
71,Nexo,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,Etherium,01/06/2021 16:56:31,1.00 billion,93803 ( 0.092%),572717,N/A,Common,1.94,1.25 billion,13.06 million,646.15 million,"Huobi Global,Uniswap v2,Binance DEX,BitMart,Hotbit,BeQuant,HitBTC,ProBit,MERCATOX,BKEX"
72,TrueUSD,0x0000000000085d4780B73119b644AE5ecd22b376,https://etherscan.io/token/0x0000000000085d4780B73119b644AE5ecd22b376,Etherium,01/06/2021 16:56:42,1.22 billion,46657 ( 0.154%),1187550,N/A,Common,1.00,1.22 billion,59.70 million,1.22 billion,"Bitcoin.com,Changelly PRO,Bittrex,DigiFinex,OKEx,Kucoin,Uniswap v2,SushiSwap,WazirX,Huobi Global"
