,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges,CoinRankUrl
10890,InnovativeBioresearchClassic,,,,22/06/2021 06:07:15,0,,,N/A,Common,0.000000180,0,373.46,0,"CREX24,FINEXBOX",https://coinranking.com/coin/wDtG3FEGDn7Q+innovativebioresearchclassic-innbcl
10891,ESTS Initiative,,,,22/06/2021 06:07:16,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/DcbDeU4mjaGx+estsinitiative-ests
10892,BouncyCoinToken,,,,22/06/2021 06:07:18,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/DMxNAlr2_ywa+bouncycointoken-bouncy
10893,Multicoin,0xf6117cc92d7247f605f11d4c942f0feda3399cb5,https://etherscan.io/token/0xf6117cc92d7247f605f11d4c942f0feda3399cb5,Etherium,22/06/2021 06:07:28,0,834 (0.00%),5777,N/A,Common,0.1006,0,"171,438",0,BiKi,https://coinranking.com/coin/C64_ws61WX9Q+multicoin-mtcn
10894,FreldoCoinX,,,,22/06/2021 06:07:29,400.00 million,,,N/A,Common,0,0,0,289.36 million,,https://coinranking.com/coin/3XpqbJ4m4oyH+freldocoinx-frecnx
10895,Ubiatar Coin,,,,22/06/2021 06:07:31,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/CmrE2scoDnW5+ubiatarcoin-uac
10896,Atomic Wallet Token,,,,22/06/2021 06:07:32,0,,,N/A,Common,1.06,0,"47,502",0,Binance DEX,https://coinranking.com/coin/XwwgprvsDv1p+atomicwallettoken-awc
10897,FireRoosterCoin,,,,22/06/2021 06:07:34,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/NuLoIh3Zg3DqL+fireroostercoin-frc
10898,Spring Token,,,,22/06/2021 06:07:36,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/vjhxx46Z2YEZ+springtoken-spring
10899,HXRO,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,https://etherscan.io/token/0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,Etherium,22/06/2021 06:07:47,0,6679 ( -0.015%),75960,N/A,Common,0.5932,0,1.76 million,0,"FTX,Uniswap v2,Bittrex,SushiSwap,Bilaxy,Hotbit",https://coinranking.com/coin/nlFBAwNOScq2+hxro-hxro
10900,CryptoFranc,0xb4272071ecadd69d933adcd19ca99fe80664fc08,https://etherscan.io/token/0xb4272071ecadd69d933adcd19ca99fe80664fc08,Etherium,22/06/2021 06:07:58,0,279 (0.00%),8609,N/A,Common,1.07,0,"94,903",0,"Bitfinex,Uniswap v2",https://coinranking.com/coin/OVjL0R5N48c0+cryptofranc-xchf
10901,FRESCO,,,,22/06/2021 06:08:00,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/qz765BsoLahE+fresco-fres
10902,LeadRex Token,,,,22/06/2021 06:08:01,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/d-f0Xnx1rXmR+leadrextoken-ldxt
10903,Whalesburg Token,,,,22/06/2021 06:08:03,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/uZXeEBfjbSkQ+whalesburgtoken-wbt
10904,Netkoin,0x5d4d57cd06fa7fe99e26fdc481b468f77f05073c,https://etherscan.io/token/0x5d4d57cd06fa7fe99e26fdc481b468f77f05073c,Etherium,22/06/2021 06:08:16,0,14017 ( -0.007%),68800,N/A,Common,0,0,0,0,,https://coinranking.com/coin/4LpXvCHBFLtj+netkoin-ntk2
10905,xenchain,,,,22/06/2021 06:08:17,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/saH-Z_EIYXgq+xenchain-xenc
10906,EXRT,,,,22/06/2021 06:08:19,0,,,N/A,Common,0.00273,0,0,0,,https://coinranking.com/coin/nR3JhdFgFPSK+exrt-exrt
10907,CRYMcoin,,,,22/06/2021 06:08:20,0,,,N/A,Common,32.01,0,320.01,0,FINEXBOX,https://coinranking.com/coin/YU-jaNIE6YKj+crymcoin-crym
10908,BLibrary,,,,22/06/2021 06:08:22,0,,,N/A,Common,0.00284,0,5.09,0,FINEXBOX,https://coinranking.com/coin/v2Zz35hVlh69+blibrary-blib
10909,Electronero Pulse,,,,22/06/2021 06:08:23,0,,,N/A,Common,0.0000081,0,31.57,0,"TradeOgre,FINEXBOX",https://coinranking.com/coin/jxWBqe7rwfzS+electroneropulse-etnxp
10910,Electronero,,,,22/06/2021 06:08:25,0,,,N/A,Common,0.0000037,0,80.52,0,"TradeOgre,FINEXBOX",https://coinranking.com/coin/znXdhjDeoYNP+electronero-etnx
10911,EAZY Community Node,,,,22/06/2021 06:08:26,0,,,N/A,Common,0.000532,0,38.46,0,"ProBit,FINEXBOX,CREX24",https://coinranking.com/coin/zBFDkUoW12bh+eazycommunitynode-ezy
10912,PatentTX,,,,22/06/2021 06:08:27,0,,,N/A,Common,0.02207,0,0.2208,0,FINEXBOX,https://coinranking.com/coin/kuxvVBe0-UuI+patenttx-ptx
10913,JUMBO coin,,,,22/06/2021 06:08:29,0,,,N/A,Common,0.1666,0,1.67,0,FINEXBOX,https://coinranking.com/coin/5gFS8PTys9H6+jumbocoin-jumbo
10914,DeroGold,,,,22/06/2021 06:08:30,0,,,N/A,Common,0.000000004,0,8.96,0,FINEXBOX,https://coinranking.com/coin/GR2QJd9f0_R4+derogold-dego
10915,Internal Exchange Coin,,,,22/06/2021 06:08:32,0,,,N/A,Common,4.73,0,47.31,0,FINEXBOX,https://coinranking.com/coin/Ezk2fFsJ-XIN+internalexchangecoin-iex
10916,KEMA Coin,,,,22/06/2021 06:08:34,0,,,N/A,Common,0.001259,0,240.67,0,"FINEXBOX,Graviex",https://coinranking.com/coin/CtiT3t93AftU+kemacoin-kema
10917,GiletJauneCoin,,,,22/06/2021 06:08:35,0,,,N/A,Common,0.01451,0,13.65,0,FINEXBOX,https://coinranking.com/coin/lPz5YUGDhp0_+giletjaunecoin-gjco
10918,QMCoin,,,,22/06/2021 06:08:36,0,,,N/A,Common,0.1573,0,209.96,0,FINEXBOX,https://coinranking.com/coin/9ta0Gq2eljWA+qmcoin-qmc
10919,BRIXCOIN,,,,22/06/2021 06:08:38,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/dE-mkrdks_s0+brixcoin-brix
10920,Ngin,,,,22/06/2021 06:08:39,0,,,N/A,Common,0.01072,0,30.86,0,FINEXBOX,https://coinranking.com/coin/f8ioqAOGS2sN+ngin-ng
10921,EthereumTiger,,,,22/06/2021 06:08:41,0,,,N/A,Common,0.000315,0,3.00,0,FINEXBOX,https://coinranking.com/coin/XYOAQ9hl1tsN+ethereumtiger-etig
10922,Powo Coin,,,,22/06/2021 06:08:42,0,,,N/A,Common,0.000315,0,0.00315,0,FINEXBOX,https://coinranking.com/coin/IGOaOHStAOv2+powocoin-powo
10923,SpectreSecurity,,,,22/06/2021 06:08:44,0,,,N/A,Common,0.000101,0,0.1178,0,"Graviex,FINEXBOX",https://coinranking.com/coin/k0jVXQPVWilD+spectresecurity-xspc
10924,Ballzcoin,,,,22/06/2021 06:08:45,0,,,N/A,Common,0.000315,0,0.00315,0,FINEXBOX,https://coinranking.com/coin/RRIBe59dL-K7+ballzcoin-ballz
10925,IONOS,,,,22/06/2021 06:08:47,0,,,N/A,Common,0.000315,0,0.00315,0,FINEXBOX,https://coinranking.com/coin/O6uZolnhcA2i+ionos-iox
10926,UOUPipe,,,,22/06/2021 06:08:48,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/AFLgLt0d86TX+uoupipe-uou
10927,PredatorCoin,,,,22/06/2021 06:08:49,0,,,N/A,Common,0.000315,0,4.37,0,FINEXBOX,https://coinranking.com/coin/3m1QiVT2ARih+predatorcoin-prd
10928,GoldKash,,,,22/06/2021 06:08:51,0,,,N/A,Common,0.0000063,0,0.5912,0,"STEX,FINEXBOX",https://coinranking.com/coin/WuSl3eeO2Jt0+goldkash-xgk
10929,GENOM,,,,22/06/2021 06:08:52,0,,,N/A,Common,0.000315,0,0.00315,0,FINEXBOX,https://coinranking.com/coin/witrUngW29vN+genom-genom
10930,ZeonCoin,,,,22/06/2021 06:08:54,0,,,N/A,Common,0.000650,0,"57,125",0,"BitMart,Hotbit,FINEXBOX",https://coinranking.com/coin/ALAhee88BgNe+zeoncoin-zeon
10931,Whiffnetwork,,,,22/06/2021 06:08:55,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/18sox7Puywho+whiffnetwork-wff
10932,Charity,,,,22/06/2021 06:08:57,0,,,N/A,Common,0.03027,0,0.3028,0,FINEXBOX,https://coinranking.com/coin/vHl871329apj+charity-chrt
10933,Vectorspace AI,,,,22/06/2021 06:08:58,0,,,N/A,Common,0.7862,0,683.60,0,ProBit,https://coinranking.com/coin/foR6S_BKiN9K+vectorspaceai-vxv
10934,Causee,,,,22/06/2021 06:09:00,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/C07LO-8IQUx_+causee-caus
10935,7clover,,,,22/06/2021 06:09:01,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/BXDujJcJqB_2+7clover-7clover
10936,Time Space Chain,,,,22/06/2021 06:09:03,0,,,N/A,Common,0.000284,0,"582,319",0,AEX,https://coinranking.com/coin/U8ir098m7VaU+timespacechain-tsc
10937,ThingsChain,0x72430a612adc007c50e3b6946dbb1bb0fd3101d1,https://etherscan.io/token/0x72430a612adc007c50e3b6946dbb1bb0fd3101d1,Etherium,22/06/2021 06:09:13,0,4936 (0.00%),30409,N/A,Common,0,0,0,0,,https://coinranking.com/coin/cNfIrKVPtHIN+thingschain-tic
10938,Apple LATOKEN,,,,22/06/2021 06:09:15,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/GCKEHzOcSykp+applelatoken-aapll
10939,GRET,,,,22/06/2021 06:09:16,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/BlLZZ-ZvgMw9+gret-gret
10940,Bankcoin,,,,22/06/2021 06:09:18,0,,,N/A,Common,0.00221,0,13.44,0,CREX24,https://coinranking.com/coin/uSqaqDXUYePM+bankcoin-bcash
10941,Gold LATOKEN,,,,22/06/2021 06:09:19,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/_RMi10D6tQb6+goldlatoken-goldl
10942,Alibaba LATOKEN,,,,22/06/2021 06:09:20,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/wOwToJDaLVS8+alibabalatoken-babal
10943,Lobefy,,,,22/06/2021 06:09:21,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/v4Puw-32j7IY+lobefy-crwd
10944,BlockBooster,,,,22/06/2021 06:09:24,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/yOrBOO_6ofRj+blockbooster-bbt
10945,Tokenmom,,,,22/06/2021 06:09:26,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/PyIUEpXzG68V+tokenmom-tm
10946,MNEX,,,,22/06/2021 06:09:27,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/X8y5bx_qzn31+mnex-mnex
10947,SubInvest2,,,,22/06/2021 06:09:28,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/WKEXrGWYbEgs+subinvest2-subx2
10948,Plair,,,,22/06/2021 06:09:30,0,,,N/A,Common,0.000073,0,"17,730",0,"BitMart,OceanEx",https://coinranking.com/coin/Quef-6x4NFLr+plair-pla
10949,Natmin Pure Escrow,,,,22/06/2021 06:09:32,0,,,N/A,Common,0.0000428,0,742.83,0,BitMart,https://coinranking.com/coin/Iw8njKFaNdfR+natminpureescrow-nat
10950,Mimibit Coin,,,,22/06/2021 06:09:33,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/5sFVMadWdWBu+mimibitcoin-mmc
10951,Myanmar Gold Coin,,,,22/06/2021 06:09:34,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/L0a-O9FcoDWc+myanmargoldcoin-mgc
10952,LEXIT,0xaa031595d2d9b82847a5df3390c6395839b273d0,https://etherscan.io/token/0xaa031595d2d9b82847a5df3390c6395839b273d0,Etherium,22/06/2021 06:09:44,0,481,1610,N/A,Common,0.00176,0,0,0,,https://coinranking.com/coin/xWED65LodC0a+lexit-lxt
10953,Kambria,0x14da230d6726C50F759Bc1838717F8CE6373509C,https://etherscan.io/token/0x14da230d6726C50F759Bc1838717F8CE6373509C,Etherium,22/06/2021 06:09:55,0,1949,9474,N/A,Common,0.00209,0,"29,628",0,"Kucoin,Binance DEX,DragonEx,Hotbit",https://coinranking.com/coin/Rhs9wnP3-YuS+kambria-kat
10954,GXChain Token,,,,22/06/2021 06:09:57,0,,,N/A,Common,0.4586,0,1.95 million,0,"Huobi Global,DigiFinex,Uniswap v2",https://coinranking.com/coin/e2wSDUkPIsBe+gxchaintoken-gxc
10955,Community Coin,,,,22/06/2021 06:09:58,0,,,N/A,Common,0.001338,0,61.32,0,BitMart,https://coinranking.com/coin/e3erinj6N7pv+communitycoin-cot
10956,AAAChain,,,,22/06/2021 06:09:59,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/mYZ3IvGP32fB+aaachain-aaa
10957,Btchd,,,,22/06/2021 06:10:00,0,,,N/A,Common,1.69,0,3.05 million,0,"Huobi Global,Bithumb Global,BitMart,Hotbit",https://coinranking.com/coin/GEbt1ku5OEpO+btchd-bhd
10958,Festoncoin,,,,22/06/2021 06:10:02,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/ATqAAw1HxW1W+festoncoin-fton
10959,Global Game Payment Currency,,,,22/06/2021 06:10:04,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/9QJrlHrnJpvW+globalgamepaymentcurrency-ggpc
10960,Creditcoin,,,,22/06/2021 06:10:05,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/A7UzRUJaKtdD+creditcoin-ccoin
10961,DexAge,,,,22/06/2021 06:10:07,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/AZbnNwUWD3SE+dexage-dxg
10962,Almeedex,,,,22/06/2021 06:10:08,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/YA1thOhqahjw+almeedex-aldx
10963,Kryptoro,,,,22/06/2021 06:10:10,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/GIe8ejUV-DBm+kryptoro-kto
10964,RaiderCoin,,,,22/06/2021 06:10:11,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/sgWnk3N-rIhH+raidercoin-rai
10965,Rabbit Exchange,,,,22/06/2021 06:10:12,0,,,N/A,Common,0.000778,0,"3,186",0,Hotbit,https://coinranking.com/coin/7BwjvtqS5O3Y+rabbitexchange-rb
10966,Soyuz,,,,22/06/2021 06:10:13,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/Xlls6YwXEWBs+soyuz-syz
10967,REVUcoin,,,,22/06/2021 06:10:16,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/hxhei6gR0vn4+revucoin-revu
10968,MN Tracker,,,,22/06/2021 06:10:17,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/yhHpRHnATrSi+mntracker-mnt
10969,Network GURU,,,,22/06/2021 06:10:18,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/1tMPdXSXm16p+networkguru-gta
10970,Fanfare Global,,,,22/06/2021 06:10:19,0,,,N/A,Common,0.00159,0,128.18,0,LATOKEN,https://coinranking.com/coin/2bJuolWxLVcS+fanfareglobal-fan
10971,UChain,0xaaf37055188feee4869de63464937e683d61b2a1,https://etherscan.io/token/0xaaf37055188feee4869de63464937e683d61b2a1,Etherium,22/06/2021 06:10:31,0,15116 (0.00%),32368,N/A,Common,0.000057,0,"5,072",0,Hotbit,https://coinranking.com/coin/lcBCjrXcq5rQ+uchain-ucn
10972,Bitcoin X,,,,22/06/2021 06:10:33,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/GvJOqktPOSR_+bitcoinx-btx
10973,Citron,,,,22/06/2021 06:10:34,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/sPzU2kMhZ_6N+citron-xct
10974,Gambleo,,,,22/06/2021 06:10:36,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/KkPrApZorGlb+gambleo-gambleo
10975,BetChip,,,,22/06/2021 06:10:37,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/NVYN0nkTy5Se+betchip-btchp
10976,2100NEWS,,,,22/06/2021 06:10:39,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/gFD22HnhUWa-+2100news-nws
10977,ONTOP,,,,22/06/2021 06:10:40,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/bZ_I8kRvx8FN+ontop-ontop
10978,OASES,,,,22/06/2021 06:10:41,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/3kktF3fKDtJD+oases-oas
10979,TouchCon,0xE02784175C3BE0DEa7CC0F284041b64503639E66,https://etherscan.io/token/0xE02784175C3BE0DEa7CC0F284041b64503639E66,Etherium,22/06/2021 06:10:51,0,932 (0.00%),1426,N/A,Common,0.00214,0,"20,525",0,"MERCATOX,LATOKEN,STEX",https://coinranking.com/coin/nR816OkueW-R+touchcon-toc
10980,Megabyte,,,,22/06/2021 06:10:52,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/W62MD60Vq9Wp+megabyte-mgb
10981,GEMERA,,,,22/06/2021 06:10:54,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/JivfWPQaulhr+gemera-gema
10982,VOID,,,,22/06/2021 06:10:55,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/gMwc-YFQr4SF+void-void
10983,Success Life,,,,22/06/2021 06:10:57,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/_oiz1tkl6RzO+successlife-sxl
10984,IndoCoin,,,,22/06/2021 06:10:59,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/uKwbjj8sMagw+indocoin-indocoin
10985,NoHoaxCoin,,,,22/06/2021 06:11:01,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/Em2UwiWDJ5Ef+nohoaxcoin-nhcx
10986,CoinJanitor,0xaf80e6612d9c2e883122e7f2292ee6c34176ad4f,https://etherscan.io/token/0xaf80e6612d9c2e883122e7f2292ee6c34176ad4f,Etherium,22/06/2021 06:11:13,0,970,2228,N/A,Common,0.00200,0,6.77,0,"SouthXchange,resfinex",https://coinranking.com/coin/44Mvp3QOhYCZ+coinjanitor-jan
10987,NewSolution,0xd89040ac9823b72f64d71f66fa2deae7c8520671,https://etherscan.io/token/0xd89040ac9823b72f64d71f66fa2deae7c8520671,Etherium,22/06/2021 06:11:24,0,144,2681,N/A,Common,0.00378,0,267.33,0,"CREX24,VinDAX,Bololex",https://coinranking.com/coin/kKvoBCyFisA_+newsolution-nst
10988,Kurecoin,,,,22/06/2021 06:11:25,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/r2zIwXAOZF5G+kurecoin-krc7
10989,BuckHathCoin,,,,22/06/2021 06:11:27,0,,,N/A,Common,0.0519,0,280.14,0,"MERCATOX,STEX",https://coinranking.com/coin/wF6d6d9A2Pgx+buckhathcoin-bhig
10990,BazzEX,,,,22/06/2021 06:11:28,0,,,N/A,Common,0.000315,0,131.07,0,FINEXBOX,https://coinranking.com/coin/mPdGRZ-M9CR9+bazzex-bazz
10991,Stellar Gold,,,,22/06/2021 06:11:29,0,,,N/A,Common,0.00239,0,"21,056",0,PayRue,https://coinranking.com/coin/7Ris2AU1w3m4+stellargold-xlmg
10992,U Run It,,,,22/06/2021 06:11:31,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/05RsDW8e9b9R+urunit-urun
10993,Sancoj,0x03ec7bb59be036870ef696a2abf124f496d6735a,https://etherscan.io/token/0x03ec7bb59be036870ef696a2abf124f496d6735a,Etherium,22/06/2021 06:11:40,0,29100,37733,N/A,Common,0,0,0,0,,https://coinranking.com/coin/QFFhBOSuYfwM+sancoj-sanc
10994,Kripton,0x2cc71c048a804da930e28e93f3211dc03c702995,https://etherscan.io/token/0x2cc71c048a804da930e28e93f3211dc03c702995,Etherium,22/06/2021 06:11:50,0,986 ( 0.101%),5636,N/A,Common,0.000398,0,0,0,,https://coinranking.com/coin/BiikMHajrsAx+kripton-lpk
10995,Energy Source,,,,22/06/2021 06:11:51,0,,,N/A,Common,0.0000479,0,146.64,0,BitMart,https://coinranking.com/coin/Ui3SWHL5Q2gP+energysource-leml
10996,Fancy Token,,,,22/06/2021 06:11:53,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/72i6WoqDGyPS+fancytoken-fcy
10997,Contractium,,,,22/06/2021 06:11:54,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/2YaK3GmFtW3f+contractium-ctu
10998,XchangeRate,,,,22/06/2021 06:11:56,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/9x7dQMWdLwIA+xchangerate-xrr
10999,NoFakeCoin,0xb0866289e870d2efc282406cf4123df6e5bcb652,https://etherscan.io/token/0xb0866289e870d2efc282406cf4123df6e5bcb652,Etherium,22/06/2021 06:12:06,0,25908,33618,N/A,Common,0.02076,0,340.52,0,BitMart,https://coinranking.com/coin/-QpSW_ECYMQQ+nofakecoin-nfc
11000,Japan Content Token,,,,22/06/2021 06:12:07,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/3aE3vgYJsmh1+japancontenttoken-jct
11001,Berith,,,,22/06/2021 06:12:09,0,,,N/A,Common,0.0791,0,"59,206",0,"BitMart,Hotbit",https://coinranking.com/coin/8jX8Eta2PWQP+berith-brt
11002,BitMessage,,,,22/06/2021 06:12:10,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/_tmUshnWH7Ks+bitmessage-msg
11003,Certified Carbon Emission Transaction,,,,22/06/2021 06:12:12,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/CAR4r-1XWR8n+certifiedcarbonemissiontransaction-cert
11004,1SG,0x0f72714b35a366285df85886a2ee174601292a17,https://etherscan.io/token/0x0f72714b35a366285df85886a2ee174601292a17,Etherium,22/06/2021 06:12:21,0,125 (0.00%),1770,N/A,Common,0,0,0,0,,https://coinranking.com/coin/T3nv3e7wqBch+1sg-1sg
11005,CoinPaws,,,,22/06/2021 06:12:22,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/9vn4ElzXPeVA+coinpaws-cps
11006,One World,,,,22/06/2021 06:12:24,0,,,N/A,Common,0.001228,0,7.83,0,"CREX24,STEX",https://coinranking.com/coin/QZ2-zARDAded+oneworld-owo
11007,PAGODA,,,,22/06/2021 06:12:25,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/CgmCqVED4Gwh+pagoda-pgd
11008,EverLife.AI,,,,22/06/2021 06:12:27,0,,,N/A,Common,0.001348,0,0.2279,0,PayRue,https://coinranking.com/coin/boqYevCCJac6+everlifeai-ever
11009,DSTOQ,,,,22/06/2021 06:12:28,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/d-zujbcAQXIH+dstoq-dsq
11010,Cryptosolartech,0xbb49a51ee5a66ca3a8cbe529379ba44ba67e6771,https://etherscan.io/token/0xbb49a51ee5a66ca3a8cbe529379ba44ba67e6771,Etherium,22/06/2021 06:12:39,0,2727 (0.00%),13848,N/A,Common,0,0,0,0,,https://coinranking.com/coin/ktnQWYUSILP5+cryptosolartech-cst
11011,MularPay,0x4a48a334906f1a323628ee3eec33e8cce7bd2cfc,https://etherscan.io/token/0x4a48a334906f1a323628ee3eec33e8cce7bd2cfc,Etherium,22/06/2021 06:12:48,0,47715,51778,N/A,Common,0,0,0,0,,https://coinranking.com/coin/Zhk5T9NQbHa3+mularpay-mp
11012,LeBlock,,,,22/06/2021 06:12:50,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/05cbxu8_H6AU+leblock-tat
11013,Platform X,,,,22/06/2021 06:12:51,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/mZ8MCfJcRWkB+platformx-px
11014,New Retail Coin,,,,22/06/2021 06:12:52,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/Qft-IstvZInn+newretailcoin-nrc
11015,GFC Gold Coin,,,,22/06/2021 06:12:53,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/MChxKTHFrjHY+gfcgoldcoin-gfc
11016,FTW,,,,22/06/2021 06:12:55,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/5RXSK8ETEewk+ftw-ftx
11017,VESTELLA,,,,22/06/2021 06:12:56,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/hoCUrDs3JPlO+vestella-ves
11018,ZAG,,,,22/06/2021 06:12:58,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/0hXf2BbZQXSu+zag-zag
11019,InflationCoin,,,,22/06/2021 06:12:59,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/nU9C1Umqzk3t+inflationcoin-iqgxiflt
11020,Multiversum,,,,22/06/2021 06:13:01,0,,,N/A,Common,0.00447,0,"263,298",0,"Gate.io,MXC",https://coinranking.com/coin/Ys4wsICCtIEa+multiversum-mtv
11021,HotelLoad,,,,22/06/2021 06:13:02,0,,,N/A,Common,0.00240,0,"2,425",0,Hotbit,https://coinranking.com/coin/-wgcRgTgOsD0+hotelload-hll
11022,EVE coin,,,,22/06/2021 06:13:04,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/_1BzsY8PakZG+evecoin-eve
11023,The Accounting Blockchain,,,,22/06/2021 06:13:06,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/jDtqnwGlo3IG+theaccountingblockchain-tab
11024,BGT,,,,22/06/2021 06:13:07,0,,,N/A,Common,0.0954,0,"68,178",0,Bgogo,https://coinranking.com/coin/JIS2UIopl_6E+bgt-bgt
11025,BarterDEX,,,,22/06/2021 06:13:08,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/i_xuylYpbrAe+barterdex-dex
11026,Credit Tag Chain,,,,22/06/2021 06:13:10,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/5jV1BrPP6ws7+credittagchain-ctc
11027,Alphacon,0x454b9f249bc1492ee995793bbc3e57b830f1a5e9,https://etherscan.io/token/0x454b9f249bc1492ee995793bbc3e57b830f1a5e9,Etherium,22/06/2021 06:13:20,0,3713 (0.00%),11090,N/A,Common,0,0,0,0,,https://coinranking.com/coin/YsazaFTehCQx+alphacon-alp
11028,Pandroyty,0x4e8e8eb5a4ed17170b646d33b8ef3e7352585607,https://etherscan.io/token/0x4e8e8eb5a4ed17170b646d33b8ef3e7352585607,Etherium,22/06/2021 06:13:31,0,1461,2456,N/A,Common,0,0,0,0,,https://coinranking.com/coin/_oW_vwSclblH+pandroyty-pdry
11029,GoNetwork,0x423b5f62b328d0d6d44870f4eee316befa0b2df5,https://etherscan.io/token/0x423b5f62b328d0d6d44870f4eee316befa0b2df5,Etherium,22/06/2021 06:13:42,0,13315 (0.00%),47745,N/A,Common,0.00231,0,"115,364",0,"Hotbit,Bitforex",https://coinranking.com/coin/PIh97DQhh7c0+gonetwork-got
11030,Voicecoin,,,,22/06/2021 06:13:44,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/Fze_Rw-l1Sg3+voicecoin-vc
11031,Timicoin,,,,22/06/2021 06:13:45,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/-sCzz7DN4hla+timicoin-tmc
11032,Safe Haven,,,,22/06/2021 06:13:46,0,,,N/A,Common,0.00282,0,2.60 million,0,Kucoin,https://coinranking.com/coin/6TUjZ4SEouGn+safehaven-sha
